Binomial,bs_g,log10_bs,lognat_bs,,,
Acridotheres_ginginianus,73.00,1.86332286,4.290459441,,,
Acridotheres_grandis,98.98,1.995547449,4.59491781,,,
Acridotheres_javanicus,85.00,1.929418926,4.442651256,,,
Acridotheres_tristis,122.89,2.089516544,4.811289646,,,
Acris_blanchardi,3.80,0.579783597,1.335001067,,,
Acris_crepitans,1.69,0.227886705,0.524728529,,,
Acris_gryllus,2.02,0.305351369,0.703097511,,,
Acritillas_indica,32.28,1.508933526,3.474447843,,,
Acrobates_pygmaeus,10.62,1.026124517,2.362739016,,,
Acrobatornis_fonsecai,14.10,1.149219113,2.646174797,,,
Acrocephalus_aedon,26.97,1.430880946,3.294725137,,,
Acrocephalus_aequinoctialis,25.00,1.397940009,3.218875825,,,
Acrocephalus_agricola,10.30,1.012837225,2.332143895,,,
Acrocephalus_arundinaceus,32.90,1.517195898,3.493472658,,,
Acrocephalus_astrolabii,32.23,1.508260306,3.472897696,,,
Acrocephalus_atyphus,31.21,1.494293769,3.440738556,,,
Acrocephalus_australis,21.57,1.333850145,3.07130346,,,
Acrocephalus_baeticatus,11.53,1.061829307,2.444952334,,,
Acrocephalus_bistrigiceps,9.54,0.979548375,2.255493485,,,
Acrocephalus_brevipennis,16.44,1.215901813,2.79971739,,,
Acrocephalus_caffer,31.21,1.494293769,3.440738556,,,
Acrocephalus_concinens,8.50,0.929418926,2.140066163,,,
Acrocephalus_dumetorum,12.68,1.103119254,2.540025949,,,
Acrocephalus_familiaris,19.35,1.286680969,2.962692419,,,
Acrocephalus_gracilirostris,15.43,1.188365926,2.736313666,,,
Acrocephalus_griseldis,21.85,1.339451441,3.084200922,,,
Acrocephalus_hiwae,32.23,1.508260306,3.472897696,,,
Acrocephalus_kerearako,24.36,1.386677284,3.192942443,,,
Acrocephalus_luscinia,34.50,1.537819095,3.540959324,,,
Acrocephalus_luscinius,31.39,1.496791316,3.446489371,,,
Acrocephalus_melanopogon,11.94,1.077004327,2.479894108,,,
Acrocephalus_mendanae,31.21,1.494293769,3.440738556,,,
Acrocephalus_newtoni,17.92,1.253338005,2.885917408,,,
Acrocephalus_nijoi,32.23,1.508260306,3.472897696,,,
Acrocephalus_orientalis,27.25,1.435366507,3.305053521,,,
Acrocephalus_orinus,24.20,1.383815366,3.186352633,,,
Acrocephalus_paludicola,12.40,1.093421685,2.517696473,,,
Acrocephalus_palustris,12.53,1.097951071,2.528125769,,,
Acrocephalus_rehsei,26.14,1.417305583,3.263466708,,,
Acrocephalus_rimatarae,26.50,1.423245874,3.277144733,,,
Acrocephalus_rimitarae,27.63,1.441380885,3.318902139,,,
Acrocephalus_rodericanus,11.93,1.076640444,2.479056236,,,
Acrocephalus_rufescens,23.93,1.378942699,3.175132902,,,
Acrocephalus_schoenobaenus,12.80,1.10720997,2.549445171,,,
Acrocephalus_scirpaceus,13.58,1.13289977,2.608598122,,,
Acrocephalus_sechellensis,15.89,1.201123897,2.765689981,,,
Acrocephalus_sorghophilus,14.18,1.151676231,2.651832521,,,
Acrocephalus_stentoreus,25.95,1.414137362,3.25617161,,,
Acrocephalus_syrinx,26.14,1.417305583,3.263466708,,,
Acrocephalus_taiti,26.04,1.41564098,3.259633817,,,
Acrocephalus_tangorum,12.45,1.095169351,2.521720623,,,
Acrocephalus_vaughani,24.47,1.388633969,3.197447877,,,
Acrocephalus_yamashinae,32.23,1.508260306,3.472897696,,,
Acrochordus_arafurae,6107.14,3.785837876,8.717213857,,,
Acrochordus_granulatus,665.79,2.823337268,6.500974306,,,
Acrochordus_javanicus,9561.08,3.980506952,9.16545597,,,
Acropternis_orthonyx,92.22,1.964825118,4.524177027,,,
Acroteriobatus_annulatus,350.00,2.544068044,5.857933154,,,
Acryllium_vulturinum,1410.28,3.149305347,7.251543545,,,
Actenoides_bougainvillei,188.00,2.274157849,5.236441963,,,
Actenoides_bougainvillei_excelsus,215.00,2.33243846,5.370638028,,,
Actenoides_concretus,79.71,1.901512809,4.378395048,,,
Actenoides_hombroni,130.17,2.114510905,4.868841288,,,
Actenoides_lindsayi,99.84,1.999304572,4.603568905,,,
Actenoides_monachus,106.00,2.025305865,4.663439094,,,
Actenoides_princeps,105.00,2.021189299,4.65396035,,,
Actinemys_marmorata,282.00,2.450249108,5.641907071,,,
Actinodura_egertoni,36.58,1.563243701,3.599501643,,,
Actinodura_morrisoniana,24.32,1.385963571,3.191299057,,,
Actinodura_nipalensis,45.22,1.655330558,3.811539467,,,
Actinodura_ramsayi,39.33,1.594723946,3.671987586,,,
Actinodura_sodangorum,38.10,1.580924976,3.640214282,,,
Actinodura_souliei,39.34,1.594834356,3.672241813,,,
Actinodura_waldeni,50.08,1.69966432,3.913621727,,,
Actitis_hypoleucos,48.75,1.68797462,3.886705197,,,
Actitis_macularius,44.68,1.650113164,3.799525974,,,
Actitis_mascularius,43.37,1.637189422,3.769767958,,,
Actophilornis_africanus,202.56,2.306553688,5.311036139,,,
Actophilornis_albinucha,239.00,2.378397901,5.476463552,,,
Acutotyphlops_subocularis,5.00,0.698970004,1.609437912,,,
Addax_nasomaculatus,85736.61,4.933166308,11.3590352,,,
Adelcophis_quadrivirgatus,21.32,1.3287872,3.059645599,,,
